,ETH Wallet Address,Total GXC tokens
316,0x051b2E0d6eC9CA4473804C5b994630540706D404,150
317,0x909220658Ba3C3Fd9fBA5415230EaE543a127115,350
318,0x941E920177FF53B3AAF805fA424d4E6469Fe38d8,350
319,0xA334B5550FbEB73629eAA38772F6d198B32CCF27,300
320,0xfE44978b305a857CC950997c9CE6dc0D5ebfe3D9,900
321,0x91c76aC412602Abcf9AAD8E8805d971276BC4A57,450
322,0x8D17b1677Da71A74BD551A528E7a31258e68c3f9,300
323,0x30798fA44b16cFB5fe88c26B62d8441EEF77Ed53,900
324,0x241143c283d3835b2B2Ab0C92c17e41DC8931D6e,450
325,0x06834F108496aC8849C55319155871507A507B54,450
326,0x6B04f43ba1ACBA8F9042d004782AF8455Db446CA,750
327,0x0360bdd5e8B733A5E53d000C49E025b7C8D074E1,900
328,0x38737ACf39cE1e54313db65c6c6D622BE6CC71cD,600
329,0x790a3dbF78804340d1497701aFc6b5D0De39782e,900
330,0xC8A4822b0A969cbbb8baEc9316c8c96CfC2712eE,900
331,0xf2b4679100978c61906924fC1fe2E934555B774b,900
332,0x479B1160A9d5C317148A0EeCD15F0Bf893d8BCa6,300
333,0xF09e67698bacB9Aad5d9C825FF61a3A1E55568C6,150
334,0x066083624c4ebe17dece808934c4d6ab1f82c514,300
335,0x623bFCc35F32F8B8ca3ce795f932018d7DeC3E92,600
336,0xe4baa1588397d9f8b409955497c647b2ede9defb,600
337,0x3beedd8ff6ce956226918dc8f0a5a6614526b288,300
338,0x5f09e6f83606d7fce80b8479d59f717f3ff1830c,300
339,0x99E8C8c1148866444a84529DB76e28644caAea7A,300
340,0x97EFa4EbB4013D203085E77d85f8358d8A39398C,150
341,0x5919cae0f94c031fbd837c741581b9bf7b6323dc,150
342,0x21B1eCb71715a79d2C3851FbcC739596a3197D93,150
343,0x0D554C6ee2a2f31441080f23ba6D36B845949d23,150
344,0xFaAB7707E035cdcE6a46E987b2A787fe9b2B93C8,350
345,0x70Bf7aDE03E5e9157388b13E8d0828BDE2DD4519,350
346,0xb65869D6407FA3447a59ff90440c0569091Fa94c,50
347,0xEdC8C1b466b636d8Cd5874729956743e2e640DAb,350
348,0xb5deee5b4d72c8c8c6f5d013b266e7b0757edd89,350
349,0xCa8aFd70618E44C5ad5B76E91bb19ca71e0e0e75,50
350,0xEF43Df51A1cAd63ce6C522d7e095c89A261600ea,350
351,0xc8Bd98afF32C390d402FD322FbCd0D7FDc7CEC24,150
352,0x051b2E0d6eC9CA4473804C5b994630540706D404,100
353,0xA95F3f1E0fa156f8754C2d8dD8D99c292EF57e96,50
354,0x3FD48fdB05566c661F7b3df78ec68A3e081937AC,350
355,0x5949b09f38e7a145be6f92510d1c04339be592b4,350
356,0x724F852edC247DE2E4DEF8B8EF4581E84E14C141,200
357,0xC7fF069dE178DA68c816e8053c3dF4c482F3019E,350
358,0xB1a17E521738F02D2Cc909c816463aca2c31A0E9,150
359,0x97bd93c2a225aC0D1f924B81873B230dE2B1FCe4,200
360,0x2981f6554aC5519Fec7ba96a3A799d81C683199C,300
361,0x241AF00a361c5c9A08e88Af6eFab984AdA7bcff1,300
362,0x2D8e798d9944ABF14FACD0e653F0e9Eae7279F84,250
363,0x3caADE777D9f61662C0bC391aece2122221f0f3e,300
364,0xa1BEB350A770aA731dc674d11D487DE582f518d0,300
365,0x6981FC86f1dA6fEE43D2059B0abf037713B746B5,250
366,0x7BE2a550F4290C3E86d76693F8a3a4d685Fac81B,300
367,0xcec87c07a6946ec56e4efcc22adc040b4c4c4fbc,300
368,0xcDe4EA8278CE46A1757e87B75D81ff368E57eF8F,300
369,0xaa5814C79eE2d83484d738e8EfBEfB9B4C410a9D,300
370,0xD937ED8360a761Bbde1f3371AD1922138d2B284B,200
371,0xd1815bda1393d8fde871763ddc35776cc8c30586,200
372,0xc91cb1dfe2beb0fcc21a1273c45611a79292bf1e,250
373,0x547ED88D8bCa88033428C9b300B7808d2E404E7e,300
374,0x400E2B1817d020094d090FEaff754fC49058B173,300
375,0xCBaC27A43EB7e5AB8F9bd73De60423177Cc11f82,100
376,0x0c49d7f01E51FCC23FBFd175beDD6A571b29B27A,50
377,0x8F541BFb400a9a3E3bD6a8cF45Fe0E9c5450582E,250
378,0x0984F5Ca4DDce991835b1a831cBA2FF31b40ea00,200
379,0xbe4fdd895f74017204f5bf90c469056fb3bd97be,250
380,0x9241460C0763DE8631d0c4dc4b559bE87Be1f21f,250
381,0xC05c717a7b42Ef93431b6317d7A6b613160A8a7A,250
382,0x014B078BAF6eC495eb390b82C9eb4D05AF068Aec,200
383,0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,250
384,0xfE924cf73f5024c5EA2779e1A9840Bb766621A02,200
385,0xFFbCf38D8801472E0332c3d514C0b73126dEC6d6,150
386,0xa58802b1d932b227654d96f8145e3cfa34c97a99,250
387,0x88e6249B8e1EDB47Ba96603d9E61443ABaD2eeEb,250
388,0x9DCB4971D65E16DCA35EFA08c6633bb6492117f1,150
389,0x285dc9690Dd5C7Df305F37f89bF978255Ba87fFc,100
390,0xb98925ee569A1BDbF7EF74C972a7148642a82118,50
391,0xEcf9d05a427B0f0e14E79001268AFe00821BbE99,200
392,0x051b2E0d6eC9CA4473804C5b994630540706D404,50
393,0x0D6B79e4336a74B7a1c3ae133fA6Ff3e139F3EF7,200
394,0xa189dB830FB8f21B0C93D2E4E8e7b5bf6799A00d,50
395,0x72c3ee5c5CC9CAEC2ad57FdBFC58868CBFfa3931,150
396,0x2F8ab4f0E64f2C108fCC0739c6bd8414e03Ef32E,200
397,0x2376bc6f5F1Dc4395D0fff93BCbB20FcF6789568,150
398,0x3744bAa47228b390C79A8a06dF241e48308Dd680,50
399,0x790a3dbF78804340d1497701aFc6b5D0De39782e,150
400,0xA334B5550FbEB73629eAA38772F6d198B32CCF27,50
